sku,titre,description,prix,condition,categorie,image_url,stock
,porte-clés 'Femme séduisante 1' porte clé humour / keychain - key holder funny,,14.99,,Autre,,4
,porte-clés 'Found on internet' porte clé/ keychain - key holder,,14.99,,Autre,,3
,porte-clés 'Mes enfants' porte clé/ keychain - key holder,,14.99,,Autre,,2
,porte-clés 'Pour ma soeur' porte clé/ keychain - key holder,,14.99,,Autre,,1
,Montre pour femme / Women's watch,,22.5,,Autre,,5
,Montre de poche en quartz 'Grandpa' / Quartz pocket watch 'Grandpa',,34.5,,Autre,,1
,porte-clés 'Tabarnak' porte clé/ keychain - key holder,,14.99,,Autre,,2
,porte-clés 'A ma fille' porte clé/ keychain - key holder,,14.99,,Autre,,2
,porte-clés 'A mon fils' porte clé / keychain - key holder,,14.99,,Autre,,2
,porte-clés 'Le bonheur' porte clé/ keychain - key holder,,14.99,,Autre,,1
,Carte de fête-voeux humour / greeting cards funny,,13.99,,Autre,,1
,Carte de fête-voeux humour / greeting cards funny,,13.99,,Autre,,1
,Carte de fête-voeux humour / greeting cards funny,,13.99,,Autre,,1
,Porte-clés 'Merci de m'avoir aidé a grandir' porte clé / keychain,,14.99,,Autre,,1
,"Vinyl Decals ""No Airbags We Die Like Real Men"" Safety Warning funny sticker",,10.99,,Autre,,2
,porte-clés 'Sobriety' porte clé/ keychain - key holder,,14.99,,Autre,,2
,porte-clés 'how strong you are' porte clé/ keychain - key holder,,14.99,,Autre,,1
,porte-clés 'Little reminder' porte clé/ keychain - key holder,,14.99,,Autre,,1
,porte-clés 'Drive safe' porte clé/ keychain - key holder,,14.99,,Autre,,2
,porte-clés 'You are awesome' porte clé/ keychain - key holder,,14.99,,Autre,,1
,porte-clés 'to my nephew' porte clé/ keychain - key holder,,14.99,,Autre,,1
,porte-clés 'Easily distracted by rocks' porte clé/ keychain - key holder,,14.99,,Autre,,1
,porte-clés 'punch people at work' porte clé/ keychain - key holder,,14.99,,Autre,,1
,porte-clés 'Drive safe handsome' porte clé/ keychain - key holder,,14.99,,Autre,,1
,porte-clés 'Best farter' porte clé/ keychain - key holder,,14.99,,Autre,,1
,porte-clés 'you are flamazing' porte clé/ keychain - key holder,,14.99,,Autre,,1
,porte-clés 'Thank for being my brother' porte clé/ keychain - key holder,,14.99,,Autre,,1
,porte-clés 'Married the coolest couple' porte clé/ keychain - key holder,,14.99,,Autre,,1
,porte-clés 'You have my heart and ass' porte clé/ keychain - key holder,,14.99,,Autre,,2
,Porte-clés 'Autobus',,12.99,,Autre,,1
,Porte-clés 'Mon endroit préféré',,14.99,,Autre,,2
,Porte-clés 'Formidable collègue',,14.99,,Autre,,1
,Porte-clés 'Beau papa',,14.99,,Autre,,1
,Porte-clés 'I love dad',,14.99,,Autre,,1
,Porte-clés 'Héros papa',,14.99,,Autre,,1
,Porte clés 'Fille séduisante modèle 4',,14.99,,Autre,,1
,Porte-clés 'collègues' modèle 2,,14.99,,Autre,,1
,Porte-clé 'Papa barbu',,14.99,,Autre,,1
,Porte-clés 'Patience tested',,14.99,,Autre,,1
,Porte-clés 'J'espère que tu crois en toi',,14.99,,Autre,,1
,Porte-clés 'Parrain',,14.99,,Autre,,1
,Porte clés 'Fille séduisante modèle 3',,14.99,,Autre,,1
,Porte-clés 'I love you more',,14.99,,Autre,,1
,Porte-clés 'Collègue un jour',,14.99,,Autre,,0
